,Attribute,Label,Description,Required,Cond_Req,Valid Values,Conditional Requirements,Component
specifyPlatformVersion,specifyPlatformVersion,SpecifyPlatformVersion,Value is determined by the data contributor,False,,,,Proteomics
acquistionSoftwareVersion,acquistionSoftwareVersion,AcquistionSoftwareVersion,The version number of software used,True,,,,Proteomics
msAssayTechnique,msAssayTechnique,MsAssayTechnique,Specified the mass spectrometer technique used,True,,"['MIB-MS', 'Not Specified', 'UPLC-ESI-QTOF-MS', 'Unknown', 'UPLC-MSMS', 'MDMS-SL', 'FIA-MSMS', 'DIA-MS', 'LC-SRMOtherMsAssayTechnique', 'HPLC-MSMS', 'Not applicable', 'LC-MSMS', 'LC-MS', 'DDA-MS', 'Not collected']",,Proteomics
technologyPlatformVersion,technologyPlatformVersion,TechnologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",True,,"['Illumina HiSeq X', 'Olympus DP80', 'Q Exative HF', 'Illumina MouseWG-6 v2.0 expression BeadChip', 'Illumina Omni2pt5M', 'Illumina NextSeq 1000', 'Illumina NextSeq 500', 'OtherTechnologyPlatformVersion', 'Chromium X', 'Affymetrix Human Gene 1.0 ST Array', 'Illumina HiSeq 4000', 'Illumina HiSeq 3000', 'PacBio RS II', 'Illumina Infinium MethylationEPIC BeadChip v1.0 (850k)', 'Illumina HumanOmniExpress-24 v1.0 BeadChip', 'Affymetrix Genome-Wide Human SNP 6.0 Array', 'PacBio Sequel II System', 'Illumina HumanOmniExpress-24 v1.2 BeadChip', 'Not collected', 'scale', 'Illumina Omni5M', 'Spectramax M Series', 'Perlegen 300Karray', 'Infinium HumanOmniExpressExome', 'Illumina HumanMethylation450', 'Illumina NovaSeq 6000', 'Cherry Imaging FACE Platform', 'Not applicable', 'Affymetrix Human Genome U133 Plus 2.0 Array', 'Illumina Human660W-Quad v1.0 BeadChip', 'Illumina HumanOmni1-Quadv1.0', 'Nanostring Counter', 'Bionano Irys', 'Cherry Imaging TRACE Platform', 'Illumina 1M', 'Illumina HiSeq 2000', 'Illumina h650', 'Illumina HiSeq 2500', 'Vevo 3100 Imaging System', 'Not Specified', 'Orbitrap Fusion Lumos Tribrid', 'LifeViz Micro System', 'Zeiss LSM 980', 'Vectra H1 3D Imaging System', 'Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq', 'LI-COR Odyssey CLx', 'LTQ Orbitrap XL', 'LifeViz Infinity System', 'PacBio Sequel IIe System', 'Affymetrix Genome-Wide Human SNP 5.0 Array', 'Illumina HumanHap300', 'Illumina NextSeq 550', 'Illumina Genome Analyzer IIx', 'Nanostring GeoMx', 'Unknown', '10x Visium Spatial Gene Expression', 'EnVision 2103 Multiplate Reader', 'Illumina NextSeq 2000', 'Affymetrix U133AB', 'Promega GloMax Discover', 'BGISEQ-500', 'Agilent 44Karray', 'Illumina WholeGenome DASL']",,Proteomics
platformLocation,platformLocation,PlatformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor",True,,"['Not Specified', 'Unknown', 'OtherPlatformLocation', 'Not applicable', 'Not collected']",,Proteomics
specifyDatabaseName,specifyDatabaseName,SpecifyDatabaseName,Value is determined by the data contributor,False,,,,Proteomics
databaseName,databaseName,DatabaseName,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).",True,,"['Metlin', 'Not Specified', 'Unknown', 'HMDB', 'Not applicable', 'NIST17', 'MassBank of North America (MoNA)', 'OtherDatabaseName', 'Not collected']",,Proteomics
specifyOtherCleavageAgent,specifyOtherCleavageAgent,SpecifyOtherCleavageAgent,Value is determined by the data contributor,False,,,,Proteomics
specifyPlatformLocation,specifyPlatformLocation,SpecifyPlatformLocation,Value is determined by the data contributor,False,,,,Proteomics
spectrometerFrequency,spectrometerFrequency,SpectrometerFrequency,The frequency at which a spectrometer causes hydrogen atoms to resonate (in MHz),True,,,,Proteomics
